Query,ReleventDoc1,RScore1,ReleventDoc2,RScore2,ReleventDoc3,RScore3,NonReleventDoc1,NRScore1,NonReleventDoc2,NRScore2,NonReleventDoc3,NRScore3
What is covered by a basic auto Insurance Policy?,What-is-covered-by-basic-Auto-Insurance-Policy,100,NA,90,NA,80,What-is-covered-by-basic-Life-Insurance-Policy,0,WHAT-DOES-UMBRELLA-INSURANCE-COVER,0,NA,0
What is covered by a basic life Insurance Policy?,What-is-covered-by-basic-Life-Insurance-Policy,100,NA,90,NA,80,What-is-covered-by-basic-Auto-Insurance-Policy,0,WHAT-DOES-UMBRELLA-INSURANCE-COVER,0,NA,0
What is covered in a umbrella insurance pollcy?,WHAT-DOES-UMBRELLA-INSURANCE-COVER,100,NA,90,NA,80,What-is-covered-by-basic-Life-Insurance-Policy,0,What-is-covered-by-basic-Auto-Insurance-Policy,0,NA,0
What is not covered by an Umbrella policy?,WHAT-IS-GENERALLY-NOT-COVERED-BY-A-PERSONAL-UMBRELLA-POLICY,100,NA,90,NA,80,What-is-covered-by-basic-Life-Insurance-Policy,0,What-is-covered-by-basic-Auto-Insurance-Policy,0,NA,0
Can you give me an example of how an umbrella policy works?,PERSONAL-UMBRELLA-INSURANCE-POLICY-IN-ACTION,100,NA,90,NA,80,WHAT-IS-GENERALLY-NOT-COVERED-BY-A-PERSONAL-UMBRELLA-POLICY,0,What-is-covered-by-basic-Auto-Insurance-Policy,0,NA,0
What should I do if my credit card is stolen?,File-theft-report-if-someone-has-stolen-your-credit-card,100,NA,90,NA,80,NA,0,NA,0,NA,0
What is my liability due to a stolen credit card?,Financial-liability-due-to-stolen-credit-cards,100,NA,90,NA,80,NA,0,NA,0,NA,0
What preventitive measure can I take due to credit card loss?,Preventive-measures-to-take-against-Fraud,100,NA,90,NA,80,NA,0,NA,0,NA,0
I am a victim of credit fraud?,Contact-credit-bureaus-if-are-a-victim-of-identity-theft,100,Preventive-measures-to-take-against-Fraud,90,Financial-liability-due-to-stolen-credit-cards,80,NA,0,NA,0,NA,0
What is covered by a basic auto Insurance Policy?,What-is-covered-by-basic-Auto-Insurance-Policy,100,NA,90,NA,80,What-is-covered-by-basic-Life-Insurance-Policy,0,WHAT-DOES-UMBRELLA-INSURANCE-COVER,0,NA,0
What is an ARM,HOW-DOES-AN-ARM-WORK,100,NA,90,NA,80,NA,0,NA,0,NA,0
What is an adjustable rate mortgage,HOW-DOES-AN-ARM-WORK,100,NA,90,NA,80,NA,0,NA,0,NA,0
