Key,Text,Type,Document_id
Accident Forgiveness,"With Accident Forgiveness (not available in CA, CT, and MA) on your FlexRate auto insurance policy, your insurance rate won't go up as a result of your first at-fault accident.",Term,Accident-Forgiveness
Actual Cash Value,"The fair market value of property; technically, replacement cost less depreciation.",Term,Actual-Cash-Value
Actuary,"A statistician who computes insurance risks and premiums. Actuaries keep FlexRate profitable and financially stable by setting prices, assessing trends, and determining how much to hold in reserve to pay claims.",Term,Actuary
Adjuster,"The auto adjuster is responsible for writing the repair estimate for your vehicle. This adjuster will also answer your questions about the repair process, your rental vehicle, or your total loss settlement.",Term,Adjuster
Adverse Carrier,Term used to refer to the other party's insurance company.,Term,Adverse-Carrier
After-Market Parts,"Parts made by a company other than the manufacturer of the auto. All parts we authorize meet or exceed the quality of the manufacturer's parts, but cost less. FlexRate guarantees these parts for as long as you own the car.",Term,After-Market-Parts
Agent,"An individual who acts as a representative for the company and sells insurance, usually on a commission basis. This individual could be an 'exclusive' or 'non-exclusive' agent.",Term,Agent
Agreed Price,The price or cost of repairs agreed to by the AD (auto damage) adjuster or independent appraiser and the body shop representative.,Term,Agreed-Price
Amendment,A change to the basic policy contract. An amendment alters the policy; an endorsementadds to it.,Term,Amendment
Anti-lock Braking System (ABS),"A computer-controlled high pressure system that assists the vehicle's normal braking system. ABS allows all wheels to slow at the same rate, thereby preventing loss of control.",Term,Anti-lock-Braking-System-ABS
Anti-Theft Device,A device that deters auto theft. Autos equipped with these devices may entitle you to a discount on your insurance premiums.,Term,Anti-Theft-Device
Appraisal,"Process that determines the value of property, or the extent of damage, usually performed by an impartial expert.",Term,Appraisal
Arbitration,A process of settling a dispute through an impartial party. It is used as an alternative to litigation.,Term,Arbitration
Assigned Risk (AIP),A driver or vehicle owner who cannot qualify for insurance in the regular market. He or she must get coverage through a state assigned risk plan which specifies that each company must accept a proportionate share of these drivers/owners.,Term,Assigned-Risk-AIP
Assured,"Means the same as an insured, policyholder, or someone who has an insurance policy.",Term,Assured
At-Fault,The party that is legally liable for the damages in an accident.,Term,At-Fault
Auto Damage (AD),Division of the claims department that handles auto claims.,Term,Auto-Damage-AD
Auto Damage Adjuster,"The auto damage adjuster is responsible for writing the repair estimate for your vehicle. This adjuster will also answer your questions about the repair process, your rental vehicle, or your total loss settlement.",Term,Auto-Damage-Adjuster
Auto Insurance,Auto Insurance provides protection from losses resulting from owning and operating an auto. The insurance covers losses to the insured's property and losses for which the insured is liable as a result of owning or operating an auto.,Term,Auto-Insurance
Auto Repair Xpress,FlexRate program that maximizes convenience. It allows you to complete your vehicle's repair process at one location. FlexRate Auto Damage adjusters are on site to facilitate the repair process. Rental vehicle arrangements are available on-site through Enterprise Rent-A-Car. All work is guaranteed for as long as you own the vehicle.,Term,Auto-Repair-Xpress
Auto Theft,The theft of an auto is a type of loss that is covered under comprehensive coverage.,Term,Auto-Theft
Berkshire Hathaway,The parent company of FlexRate. Other companies in the Berkshire Hathaway group are listed at the Berkshire-Hathaway website.,Term,Berkshire-Hathaway
Binder,A temporary agreement declaring that the policy is in effect. Used in certain cases to protect a policyholder when it is not possible to issue or endorse the policy immediately.,Term,Binder
Bodily Injury,An injury sustained by a person.,Term,Bodily-Injury
Bodily Injury Liability Coverage,"Pays damages for bodily injury or death resulting from an accident for which you are at fault and in most cases provides you with a legal defense. This coverage is subject to the terms, limits and conditions of your policy contract.",Term,Bodily-Injury-Liability-Coverage
Cancellation,"Termination of an insurance contract before the end of the policy period, by the insured or insurer.",Term,Cancellation
Carrier,The insurance company or insurer.,Term,Carrier
Catastrophe,"A disaster affecting a specific geographic area.  Catastrophes often cause injury or even death; most result in extensive property damage. Hurricanes, floods, tornadoes, and even large hailstorms are typical examples of catastrophes.",Term,Catastrophe
Certificate of Financial Responsibility (CFR),"An SR-22 (CFR) is a certificate mandated by the state to verify that an individual is maintaining auto insurance liability coverage. If a person needs an SR-22 (CFR), they will usually be notified by their state's Motor Vehicle Department.",Term,Certificate-of-Financial-Responsibility-CFR
Certificate of Satisfaction,"A form signed by the insured when he or she takes delivery of the car from the repairer. It certifies that he or she is satisfied with the vehicle operations, appearance, and visible quality of the repairs.",Term,Certificate-of-Satisfaction
Claim,Any request or demand for payment under the terms of the insurance policy.,Term,Claim
Claimant,Individual or entity presenting a claim.,Term,Claimant
Claim Examiner,A person responsible for investigating and settling a claim.,Term,Claim-Examiner
CLUE Report,Comprehensive Loss Underwriting Exchange (CLUE) report; provides claim history information.,Term,CLUE-Report
Collision Coverage,"Pays for damage to an insured vehicle when it hits or is hit by another car or object, or if the car overturns. This coverage is subject to the terms, limits and conditions of your policy contract.",Term,Collision-Coverage
Comparative Negligence,"A doctrine of law that, in some states, may enable claimants to recover a portion of their damages even when they are partially at fault, or negligent. Each party's negligence is compared to the other's and a claimant's recovery can be reduced by the percentage of his or her own negligence.",Term,Comparative-Negligence
Competitive Auto Repair Parts,"Parts made by a company other than the manufacturer of the auto. All parts we authorize meet or exceed the quality of the manufacturer's parts, but cost less. FlexRate guarantees these parts for as long as you own the car.",Term,Competitive-Auto-Repair-Parts
Competitive Estimate,A term used when an insurance company requests that you submit multiple repair estimates for consideration.,Term,Competitive-Estimate
Comprehensive Physical Damage Coverage,"Pays for damage to your car from theft, vandalism, flood, fire or other covered perils. This coverage is subject to the terms, limits and conditions of your policy contract.",Term,Comprehensive-Physical-Damage-Coverage
Condition,The portion of the insurance contract which outlines the duties and responsibilities of both the insured and the insurance company.,Term,Condition
Condo Insurance,A type of homeowners insurance that meets the special needs of condominium owners.,Term,Condo-Insurance
Contributory Negligence,"A doctrine of law that, in some states, may prevent claimants from recovering any portion of their damages if they are even partially at fault, or negligent.",Term,Contributory-Negligence
Coverage,Protection and benefits provided in an insurance contract.,Term,Coverage
Customized Vehicle,A vehicle that has been altered or has equipment or accessories not typically found in a personal vehicle.,Term,Customized-Vehicle
Damage,Loss or harm to a person or property.,Term,Damage
Damages,Money that one party becomes legally obligated to pay to another party.,Term,Damages
Declarations,"The part of your policy that includes your name and address; the property that is being insured, its location and description; the policy period; the amount of insurance coverageand the applicable premiums.",Term,Declarations
Deductible,The portion of a claim you pay out of pocket. Choosing a higher deductible will lower your insurance premiums.,Term,Deductible
Defensive Driver Discount,Certain drivers (usually over age 50) who have voluntarily taken a defensive driving course may qualify for this discount on their auto insurance premiums.,Term,Defensive-Driver-Discount
Depreciation,"The decrease in value of any property due to wear, tear, and/or time. Generally, depreciation is not an insurable loss.",Term,Depreciation
Direct Check,Direct Check is FlexRate's electronic payment method that lets you pay your premiumonline with an electronic check.,Term,Direct-Check
Direct Pay,See Electronic Funds Transfer.,Term,Direct-Pay
Discount,"A reduction in your premium if you or your car meet certain conditions that are likely to reduce the insurer's losses or expenses. For example, auto insurance discounts are given for cars with auto theft devices and for drivers and passengers who use seat belts.",Term,Discount
Drive-In,A FlexRate office staffed with FlexRate employees where insureds and claimants bring their vehicles for damage inspections and estimates.,Term,Drive-In
Driver Training Discount,A discount for people who have taken an approved driver training course. This discount is not available in all states or for all individuals.,Term,Driver-Training-Discount
Electronic Funds Transfer (EFT),EFT is an electronic payment method that lets you pay your premiums with automatic deductions from your checking account.,Term,Electronic-Funds-Transfer-EFT
Emergency Road Service Coverage,"Protection for problems that are not typically handled by your auto insurance, such as:  being locked out of your car, towing not related to an accident, having a dead battery re-charged, inflating a flat tire, or filling an empty gas tank.",Term,Emergency-Road-Service-Coverage
Endorsement,An addition to the basic policy contract. An endorsement adds to the policy contract; an amendment alters it.,Term,Endorsement
Estimate,An assessment of the cost to repair your damaged property.,Term,Estimate
Exclusion,"Restriction in your insurance policy that limits and may exclude coverage for certain perils, persons, property, or locations.",Term,Exclusion
Expiration Date,"This date, found on your declarations page, indicates when your policy coverage runs out. Your renewal policy will start on this date.",Term,Expiration-Date
Field Adjuster,"An insurance adjuster who works primarily outside of an office and often meets personally with the public. Field adjusters can conduct face-to-face meetings, negotiations with claimants, scene investigations, and damage inspections.",Term,Field-Adjuster
Financed Car,A vehicle financed by a loan. The lender retains a lien on the auto until it has been paid off.,Term,Financed-Car
First Party,Term used to refer to an insured.,Term,First-Party
First Party Claims,"A claim for damage, loss or injury made by an insured.",Term,First-Party-Claims
Forms,"Two types of forms are important in insurance: 1. pre-printed contracts that comprise your insurance policy, 2. questionnaires or coverage selection forms that a policyholder is required to fill out.",Term,Forms
Gap Insurance,"An automobile insurance option that comes into play when your vehicle is stolen or totaled. Gap insurance covers the ""gap"" or difference, if any, between your car's actual cash value and what you still owe on it. FlexRate does NOT currently offer gap insurance. You may want to check with your financing company to see if you have gap insurance or if it is available to you.",Term,Gap-Insurance
FlexRate,"FlexRate Insurance Company and its affiliates FlexRate General Insurance Company, FlexRate Indemnity Company and FlexRate Casualty Company market collectively under the trademarks FlexRate and FlexRate Direct.",Term,FlexRate
FlexRate Direct,A brand name that includes all of the FlexRate companies.,Term,FlexRate-Direct
FlexRate Overseas,"A program provided by International Insurance Underwriters, Inc. that provides automobile and property insurance outside the United States.",Term,FlexRate-Overseas
Good Student Discount,"May be awarded to full-time students who maintain a grade average of ""B"" or better.",Term,Good-Student-Discount
Hazard,Anything that increases the chance of an accident occurring.,Term,Hazard
