Query,ReleventDoc1,RScore1,ReleventDoc2,RScore2,ReleventDoc3,RScore3,NonReleventDoc1,NRScore1,NonReleventDoc2,NRScore2,NonReleventDoc3,NRScore3
What are stocks?,Term-Stock,100,Term-Common-Stock,90,Term-Preferred-Stock,80,Term-Stock-Options,0,Term-Stock-Market,0,Term-Stock-Split,0
What is an actual trade?,Term-Trade,100,Term-Trade-Date,90,NA,80,Term-Stock-ETF,0,Term-Stock-Options,0,Term-Stock-Market,0
What is the strike price on a trade?,Term-Strike-Price,100,Term-Bid-and-Asked,90,Term-Spread,80,Term-Stock-Options,0,Term-Stock-Market,0,Term-Stock-Split,0
What is the stock market?,Term-Stock-Market,100,Term-New-York-Stock-Exchange---NYSE,90,Term-American-Stock-Exchange---AMEX,80,Term-Stock-Options,0,Term-Stock-ETF,0,Term-Stock-Split,0
What are standard auditing practices in financial services?,Term-Generally-Accepted-Auditing-Standards---GAAS,100,Term-Statement-of-Financial-Accounting-Standards---SFAS,90,Term-Accounting-Principles,80,Term-Audit-Risk,0,Term-Auditor,0,Term-Detection-Risk,0
Can you explain a stock split?,Term-Stock-Split,100,Term-Par-Value,90,Term-Common-Stock,80,Term-Stock-Options,0,Term-Stock-Exchange,0,Term-Stock-Market,0
Wash sales is very confusing?,Term-Wash-Sale,100,Term-Cost-Basis,90,Term-Capital-Gains-Treatment,80,Term-Goods-Available-for-Sale,0,Term-Gross-Sales,0,Long-Term Gain,0
How do stock options work?,Term-Stock-Options,100,Term-Strike-Price,90,NA,80,Term-Stock-Market,0,Term-Stock-ETF,0,Term-Trade,0
Can you explain the definition of securities?,Term-Security,100,Term-Marketable-Securities,90,Term-Equity-Securities,80,Term-Stock-Market,0,Term-Stock-ETF,0,Term-Nasdaq,0
Where are stocks traded?,Term-Stock-Market,100,Term-New-York-Stock-Exchange---NYSE,90,Term-American-Stock-Exchange---AMEX,80,Term-Stock-Options,0,Term-Stock-ETF,0,Term-Stock-Split,0
